sweep,cell,regime,kind,concentration,floor_regime,contention,contention_ratio,seed,task_workload_hash,scenario_hash,latent_probs_by_agent,realized_task_counts_by_agent,unique_archetypes_per_agent,frac_agents_all_four_archetypes,unique_archetypes_per_agent_mean,task_entropy_mean,task_mixture_tv_mean_pairwise,resource_demand_tv_mean_pairwise,resource_centroid_distance_mean,aggregate_mandatory_demand,capacity_by_resource,realized_contention_by_resource,active_resource_count,inactive_resources,floor_fraction_by_resource,declaration_source,redraws,reject_reason
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2098221685,faf5cb82d22de62a,6297631944ac369e,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9056390622295664,0.0,0.0,0.0,"{""COMPUTE"": 660, ""MEMORY"": 576, ""API_CREDITS"": 288, ""DATASET"": 192}","{""COMPUTE"": 508, ""MEMORY"": 443, ""API_CREDITS"": 222, ""DATASET"": 148}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""API_CREDITS"": 1.2972972972972974, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.011811023622047244, ""MEMORY"": 0.013544018058690745, ""API_CREDITS"": 0.02702702702702703, ""DATASET"": 0.04054054054054054}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1138347673,db9acdf82fca0f4e,9512ac75a9d0802f,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}, {""research"": 0, ""code_review"": 2, ""doc_processing"": 1, ""monitoring"": 5}]","[3, 3, 3, 3, 3, 3]",0.0,3.0,0.6493974703476993,0.0,0.0,4.163336342344337e-17,"{""COMPUTE"": 492, ""MEMORY"": 462, ""API_CREDITS"": 162, ""DATASET"": 240}","{""COMPUTE"": 378, ""MEMORY"": 355, ""API_CREDITS"": 125, ""DATASET"": 185}","{""COMPUTE"": 1.3015873015873016, ""MEMORY"": 1.3014084507042254, ""API_CREDITS"": 1.296, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.015873015873015872, ""MEMORY"": 0.016901408450704224, ""API_CREDITS"": 0.048, ""DATASET"": 0.032432432432432434}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2342860720,633dd143f984634b,3a2b7c3046719ecc,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 2, ""code_review"": 2, ""doc_processing"": 2, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,1.0,0.0,0.0,4.85722573273506e-17,"{""COMPUTE"": 888, ""MEMORY"": 744, ""API_CREDITS"": 408, ""DATASET"": 192}","{""COMPUTE"": 683, ""MEMORY"": 572, ""API_CREDITS"": 314, ""DATASET"": 148}","{""COMPUTE"": 1.3001464128843339, ""MEMORY"": 1.3006993006993006, ""API_CREDITS"": 1.2993630573248407, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008784773060029283, ""MEMORY"": 0.01048951048951049, ""API_CREDITS"": 0.01910828025477707, ""DATASET"": 0.04054054054054054}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1473714878,fd30f3f03eaaa13e,fa5b78a99028f5f0,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 1, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 3}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9056390622295664,0.0,0.0,0.0,"{""COMPUTE"": 660, ""MEMORY"": 576, ""API_CREDITS"": 288, ""DATASET"": 192}","{""COMPUTE"": 508, ""MEMORY"": 443, ""API_CREDITS"": 222, ""DATASET"": 148}","{""COMPUTE"": 1.2992125984251968, ""MEMORY"": 1.3002257336343115, ""API_CREDITS"": 1.2972972972972974, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.011811023622047244, ""MEMORY"": 0.013544018058690745, ""API_CREDITS"": 0.02702702702702703, ""DATASET"": 0.04054054054054054}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2114544130,a87f29994988420d,d7769260b72aa7d4,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}, {""research"": 3, ""code_review"": 3, ""doc_processing"": 1, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9056390622295666,0.0,0.0,4.163336342344337e-17,"{""COMPUTE"": 972, ""MEMORY"": 816, ""API_CREDITS"": 480, ""DATASET"": 192}","{""COMPUTE"": 748, ""MEMORY"": 628, ""API_CREDITS"": 369, ""DATASET"": 148}","{""COMPUTE"": 1.2994652406417113, ""MEMORY"": 1.2993630573248407, ""API_CREDITS"": 1.3008130081300813, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008021390374331552, ""MEMORY"": 0.009554140127388535, ""API_CREDITS"": 0.016260162601626018, ""DATASET"": 0.04054054054054054}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,147595965,cd5c567e4a901f1b,acb3f0fa6e7ff141,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 2, ""code_review"": 0, ""doc_processing"": 5, ""monitoring"": 1}]","[3, 3, 3, 3, 3, 3]",0.0,3.0,0.6493974703476993,0.0,0.0,0.0,"{""COMPUTE"": 1116, ""MEMORY"": 882, ""API_CREDITS"": 510, ""DATASET"": 144}","{""COMPUTE"": 858, ""MEMORY"": 678, ""API_CREDITS"": 392, ""DATASET"": 111}","{""COMPUTE"": 1.3006993006993006, ""MEMORY"": 1.3008849557522124, ""API_CREDITS"": 1.3010204081632653, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.006993006993006993, ""MEMORY"": 0.008849557522123894, ""API_CREDITS"": 0.015306122448979591, ""DATASET"": 0.05405405405405406}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,393081195,9187f5f221873072,6e5cd6dcba463868,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 3}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9056390622295664,0.0,0.0,0.0,"{""COMPUTE"": 948, ""MEMORY"": 828, ""API_CREDITS"": 420, ""DATASET"": 288}","{""COMPUTE"": 729, ""MEMORY"": 637, ""API_CREDITS"": 323, ""DATASET"": 222}","{""COMPUTE"": 1.300411522633745, ""MEMORY"": 1.2998430141287285, ""API_CREDITS"": 1.3003095975232197, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.00823045267489712, ""MEMORY"": 0.009419152276295133, ""API_CREDITS"": 0.018575851393188854, ""DATASET"": 0.02702702702702703}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1217898226,e7d77d4bad3be373,9ecccedfd868b83e,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.7743974703476993,0.0,0.0,1.3877787807814457e-17,"{""COMPUTE"": 972, ""MEMORY"": 756, ""API_CREDITS"": 444, ""DATASET"": 96}","{""COMPUTE"": 748, ""MEMORY"": 582, ""API_CREDITS"": 342, ""DATASET"": 74}","{""COMPUTE"": 1.2994652406417113, ""MEMORY"": 1.2989690721649485, ""API_CREDITS"": 1.2982456140350878, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008021390374331552, ""MEMORY"": 0.010309278350515464, ""API_CREDITS"": 0.017543859649122806, ""DATASET"": 0.08108108108108109}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1595745102,636c253de8598ffd,dddfe092186ffce9,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}, {""research"": 0, ""code_review"": 4, ""doc_processing"": 4, ""monitoring"": 0}]","[2, 2, 2, 2, 2, 2]",0.0,2.0,0.5,0.0,0.0,0.0,"{""COMPUTE"": 768, ""MEMORY"": 576, ""API_CREDITS"": 384, ""DATASET"": 0}","{""COMPUTE"": 591, ""MEMORY"": 443, ""API_CREDITS"": 295, ""DATASET"": 1}","{""COMPUTE"": 1.299492385786802, ""MEMORY"": 1.3002257336343115, ""API_CREDITS"": 1.3016949152542372, ""DATASET"": 0.0}",3,"[""DATASET""]","{""COMPUTE"": 0.01015228426395939, ""MEMORY"": 0.013544018058690745, ""API_CREDITS"": 0.020338983050847456, ""DATASET"": 0.0}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2413048586,97892531bed1aeb6,ae2d47f66254c9b5,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}, {""research"": 4, ""code_review"": 0, ""doc_processing"": 2, ""monitoring"": 2}]","[3, 3, 3, 3, 3, 3]",0.0,3.0,0.75,0.0,0.0,4.85722573273506e-17,"{""COMPUTE"": 1176, ""MEMORY"": 996, ""API_CREDITS"": 540, ""DATASET"": 288}","{""COMPUTE"": 905, ""MEMORY"": 766, ""API_CREDITS"": 415, ""DATASET"": 222}","{""COMPUTE"": 1.2994475138121546, ""MEMORY"": 1.3002610966057442, ""API_CREDITS"": 1.3012048192771084, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.0066298342541436465, ""MEMORY"": 0.007832898172323759, ""API_CREDITS"": 0.014457831325301205, ""DATASET"": 0.02702702702702703}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,453209340,20b528f8c0a498c2,036957ce900305e2,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}, {""research"": 3, ""code_review"": 1, ""doc_processing"": 0, ""monitoring"": 4}]","[3, 3, 3, 3, 3, 3]",0.0,3.0,0.7028195311147832,0.0,0.0,0.0,"{""COMPUTE"": 864, ""MEMORY"": 786, ""API_CREDITS"": 366, ""DATASET"": 336}","{""COMPUTE"": 665, ""MEMORY"": 605, ""API_CREDITS"": 282, ""DATASET"": 258}","{""COMPUTE"": 1.299248120300752, ""MEMORY"": 1.2991735537190083, ""API_CREDITS"": 1.297872340425532, ""DATASET"": 1.302325581395349}",4,[],"{""COMPUTE"": 0.009022556390977444, ""MEMORY"": 0.009917355371900827, ""API_CREDITS"": 0.02127659574468085, ""DATASET"": 0.023255813953488372}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2920410359,91ab4d46022a0de4,0a43e5f11488289b,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 4, ""code_review"": 1, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.875,0.0,0.0,6.938893903907228e-18,"{""COMPUTE"": 1104, ""MEMORY"": 948, ""API_CREDITS"": 516, ""DATASET"": 288}","{""COMPUTE"": 849, ""MEMORY"": 729, ""API_CREDITS"": 397, ""DATASET"": 222}","{""COMPUTE"": 1.3003533568904593, ""MEMORY"": 1.300411522633745, ""API_CREDITS"": 1.2997481108312343, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.007067137809187279, ""MEMORY"": 0.00823045267489712, ""API_CREDITS"": 0.015113350125944584, ""DATASET"": 0.02702702702702703}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,4282649469,08f2a67b5a2756bd,03456b85de4b870a,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}, {""research"": 2, ""code_review"": 1, ""doc_processing"": 2, ""monitoring"": 3}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.9528195311147831,0.0,0.0,0.0,"{""COMPUTE"": 876, ""MEMORY"": 750, ""API_CREDITS"": 378, ""DATASET"": 240}","{""COMPUTE"": 674, ""MEMORY"": 577, ""API_CREDITS"": 291, ""DATASET"": 185}","{""COMPUTE"": 1.2997032640949555, ""MEMORY"": 1.2998266897746966, ""API_CREDITS"": 1.2989690721649485, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008902077151335312, ""MEMORY"": 0.010398613518197574, ""API_CREDITS"": 0.020618556701030927, ""DATASET"": 0.032432432432432434}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,2089981338,a001b977accfd560,e975e9f516e099eb,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 2, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.875,0.0,0.0,4.163336342344337e-17,"{""COMPUTE"": 756, ""MEMORY"": 612, ""API_CREDITS"": 372, ""DATASET"": 96}","{""COMPUTE"": 582, ""MEMORY"": 471, ""API_CREDITS"": 286, ""DATASET"": 74}","{""COMPUTE"": 1.2989690721649485, ""MEMORY"": 1.2993630573248407, ""API_CREDITS"": 1.3006993006993006, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.010309278350515464, ""MEMORY"": 0.012738853503184714, ""API_CREDITS"": 0.02097902097902098, ""DATASET"": 0.08108108108108109}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,1751949247,c5fceced6aaf84fd,98a6da28ed519fa7,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}, {""research"": 1, ""code_review"": 1, ""doc_processing"": 5, ""monitoring"": 1}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.7743974703476993,0.0,0.0,1.3877787807814457e-17,"{""COMPUTE"": 972, ""MEMORY"": 756, ""API_CREDITS"": 444, ""DATASET"": 96}","{""COMPUTE"": 748, ""MEMORY"": 582, ""API_CREDITS"": 342, ""DATASET"": 74}","{""COMPUTE"": 1.2994652406417113, ""MEMORY"": 1.2989690721649485, ""API_CREDITS"": 1.2982456140350878, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.008021390374331552, ""MEMORY"": 0.010309278350515464, ""API_CREDITS"": 0.017543859649122806, ""DATASET"": 0.08108108108108109}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,4210982914,cc65491cc5ae3969,ba16fbcc9df0cff1,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}, {""research"": 0, ""code_review"": 3, ""doc_processing"": 4, ""monitoring"": 1}]","[3, 3, 3, 3, 3, 3]",0.0,3.0,0.7028195311147832,0.0,0.0,2.7755575615628914e-17,"{""COMPUTE"": 756, ""MEMORY"": 582, ""API_CREDITS"": 354, ""DATASET"": 48}","{""COMPUTE"": 582, ""MEMORY"": 448, ""API_CREDITS"": 272, ""DATASET"": 37}","{""COMPUTE"": 1.2989690721649485, ""MEMORY"": 1.2991071428571428, ""API_CREDITS"": 1.3014705882352942, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.010309278350515464, ""MEMORY"": 0.013392857142857142, ""API_CREDITS"": 0.022058823529411766, ""DATASET"": 0.16216216216216217}",exact_pending_queue,0,
workload,homogeneous__moderate,homogeneous,homogeneous,,unit,moderate,1.3,3922112564,42cf491365b1ea3b,42958d6d76ba8395,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25]]","[{""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}, {""research"": 1, ""code_review"": 4, ""doc_processing"": 1, ""monitoring"": 2}]","[4, 4, 4, 4, 4, 4]",1.0,4.0,0.875,0.0,0.0,2.7755575615628914e-17,"{""COMPUTE"": 672, ""MEMORY"": 570, ""API_CREDITS"": 318, ""DATASET"": 144}","{""COMPUTE"": 517, ""MEMORY"": 438, ""API_CREDITS"": 245, ""DATASET"": 111}","{""COMPUTE"": 1.299806576402321, ""MEMORY"": 1.3013698630136987, ""API_CREDITS"": 1.2979591836734694, ""DATASET"": 1.2972972972972974}",4,[],"{""COMPUTE"": 0.01160541586073501, ""MEMORY"": 0.0136986301369863, ""API_CREDITS"": 0.024489795918367346, ""DATASET"": 0.05405405405405406}",exact_pending_queue,0,
